,cell,bounds,x0,x1,y0,y1,label,font_size,is_bold,color,text_rotation
1286,RK23,"(479, 23, 479, 23)",479,23,480,24,30,9.0,False,#ccffff,90
286,RL23,"(480, 23, 480, 23)",480,23,481,24,35,9.0,False,#ccffff,90
1560,RM23,"(481, 23, 481, 23)",481,23,482,24,40,9.0,False,#ccffff,90
1513,RN23,"(482, 23, 482, 23)",482,23,483,24,45,9.0,False,#ccffff,90
1141,RO23,"(483, 23, 483, 23)",483,23,484,24,50,9.0,False,#ccffff,90
68,RP23,"(484, 23, 484, 23)",484,23,485,24,55,9.0,False,#ccffff,90
1408,RQ23,"(485, 23, 485, 23)",485,23,486,24,21+1,9.0,False,#da9694,90
1367,RR23,"(486, 23, 486, 23)",486,23,487,24,05,9.0,False,#ccffff,90
992,RS23,"(487, 23, 487, 23)",487,23,488,24,10,9.0,False,#ccffff,90
944,RT23,"(488, 23, 488, 23)",488,23,489,24,15,9.0,False,#ccffff,90
1604,RU23,"(489, 23, 489, 23)",489,23,490,24,20,9.0,False,#ccffff,90
1232,RV23,"(490, 23, 490, 23)",490,23,491,24,25,9.0,False,#ccffff,90
1184,RW23,"(491, 23, 491, 23)",491,23,492,24,30,9.0,False,#ccffff,90
808,RX23,"(492, 23, 492, 23)",492,23,493,24,35,9.0,False,#ccffff,90
1451,RY23,"(493, 23, 493, 23)",493,23,494,24,40,9.0,False,#ccffff,90
1076,RZ23,"(494, 23, 494, 23)",494,23,495,24,45,9.0,False,#ccffff,90
1031,SA23,"(495, 23, 495, 23)",495,23,496,24,50,9.0,False,#ccffff,90
597,SB23,"(496, 23, 496, 23)",496,23,497,24,55,9.0,False,#ccffff,90
1310,SC23,"(497, 23, 497, 23)",497,23,498,24,22+1,9.0,False,#da9694,90
1269,SD23,"(498, 23, 498, 23)",498,23,499,24,05,9.0,False,#ccffff,90
893,SE23,"(499, 23, 499, 23)",499,23,500,24,10,9.0,False,#ccffff,90
843,SF23,"(500, 23, 500, 23)",500,23,501,24,15,9.0,False,#ccffff,90
1107,SG23,"(501, 23, 501, 23)",501,23,502,24,20,9.0,False,#ccffff,90
1124,SH23,"(502, 23, 502, 23)",502,23,503,24,25,9.0,False,#ccffff,90
689,SI23,"(503, 23, 503, 23)",503,23,504,24,30,9.0,False,#ccffff,90
699,SJ23,"(504, 23, 504, 23)",504,23,505,24,35,9.0,False,#ccffff,90
958,SK23,"(505, 23, 505, 23)",505,23,506,24,40,9.0,False,#ccffff,90
973,SL23,"(506, 23, 506, 23)",506,23,507,24,45,9.0,False,#ccffff,90
531,SM23,"(507, 23, 507, 23)",507,23,508,24,50,9.0,False,#ccffff,90
487,SN23,"(508, 23, 508, 23)",508,23,509,24,55,9.0,False,#ccffff,90
1214,SO23,"(509, 23, 509, 23)",509,23,510,24,23+1,9.0,False,#da9694,90
774,SP23,"(510, 23, 510, 23)",510,23,511,24,05,9.0,False,#ccffff,90
379,SQ23,"(511, 23, 511, 23)",511,23,512,24,10,9.0,False,#ccffff,90
338,SR23,"(512, 23, 512, 23)",512,23,513,24,15,9.0,False,#ccffff,90
1660,SS23,"(513, 23, 513, 23)",513,23,514,24,20,9.0,False,#ccffff,90
626,ST23,"(514, 23, 514, 23)",514,23,515,24,25,9.0,False,#ccffff,90
574,SU23,"(515, 23, 515, 23)",515,23,516,24,30,9.0,False,#ccffff,90
172,SV23,"(516, 23, 516, 23)",516,23,517,24,35,9.0,False,#ccffff,90
127,SW23,"(517, 23, 517, 23)",517,23,518,24,40,9.0,False,#ccffff,90
470,SX23,"(518, 23, 518, 23)",518,23,519,24,45,9.0,False,#ccffff,90
423,SY23,"(519, 23, 519, 23)",519,23,520,24,50,9.0,False,#ccffff,90
