,group_id,sku,kg,original_kg,packing_team_id,boiling,bff,configuration,cleaning,sheet,total_volume,line,boiling_volumes,sku_name,batch_id,boiling_id,batch_type,absolute_batch_id
11,2,<MozzarellaSKU 90>,111.85996762257169,111.0,1,<MozzarellaBoiling 43>,<MozzarellaFormFactor 14>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте ""Красная птица"", 45%, 0,125/0,225 кг, ф/п",2,2,mozzarella,2
12,2,<MozzarellaSKU 119>,317.44044865864936,315.0,1,<MozzarellaBoiling 43>,<MozzarellaFormFactor 14>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте ""Turatti"", 45%, 0,125/0,225 кг, ф/п",2,2,mozzarella,2
13,2,<MozzarellaSKU 113>,55.42611008325624,55.0,1,<MozzarellaBoiling 43>,<MozzarellaFormFactor 15>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте ""Ваш выбор"", 45%, 0,1/0,18 кг, ф/п",2,2,mozzarella,2
14,12,<MozzarellaSKU 75>,316.3138479001135,316.0,1,<MozzarellaBoiling 38>,<MozzarellaFormFactor 10>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",12,12,mozzarella,12
15,12,<MozzarellaSKU 84>,59.05859818388195,59.0,1,<MozzarellaBoiling 38>,<MozzarellaFormFactor 10>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Сулугуни палочки ""Красная птица"", 45%, 0,12 кг, т/ф",12,12,mozzarella,12
16,12,<MozzarellaSKU 115>,506.5025539160045,506.0,1,<MozzarellaBoiling 38>,<MozzarellaFormFactor 10>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Сулугуни палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",12,12,mozzarella,12
17,3,<MozzarellaSKU 91>,4.012430939226519,4.0,1,<MozzarellaBoiling 42>,<MozzarellaFormFactor 15>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте ""Aventino"", 45%, 0,1/0,18 кг, ф/п",3,3,mozzarella,3
18,3,<MozzarellaSKU 92>,74.22997237569061,74.0,1,<MozzarellaBoiling 42>,<MozzarellaFormFactor 15>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте ""Orecchio Oro"", 45%, 0,1/0,18 кг, ф/п",3,3,mozzarella,3
19,3,<MozzarellaSKU 93>,106.32941988950276,106.0,1,<MozzarellaBoiling 42>,<MozzarellaFormFactor 15>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте ""Каждый день"", 45%, 0,1/0,18 кг, ф/п",3,3,mozzarella,3
20,3,<MozzarellaSKU 138>,307.95407458563534,307.0,1,<MozzarellaBoiling 42>,<MozzarellaFormFactor 15>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте «SPAR», 45%, 0,1/0,18 кг, ф/п",3,3,mozzarella,3
21,3,<MozzarellaSKU 89>,98.30455801104972,98.0,1,<MozzarellaBoiling 42>,<MozzarellaFormFactor 15>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте ""Pretto"", 45%, 0,1/0,18 кг, ф/п, (8 шт)",3,3,mozzarella,3
